cycle,n,area_sim,area_expected,V_hom,f_dot,dNdt,dMdt,M,anomaly
160,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-6389772.498276,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
161,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-6429460.532427,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
162,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-6469148.566578,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
163,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-6508836.600729,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
164,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-6548524.634879,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
165,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-6588212.669030,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
166,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-6627900.703181,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
167,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-6667588.737332,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
168,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-6707276.771482,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
169,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-6746964.805633,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
170,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-6786652.839784,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
171,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-6826340.873935,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
172,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-6866028.908086,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
173,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-6905716.942236,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
174,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-6945404.976387,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
175,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-6985093.010538,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
176,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-7024781.044689,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
177,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-7064469.078840,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
178,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-7104157.112990,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
179,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-7143845.147141,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
180,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-7183533.181292,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
181,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-7223221.215443,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
182,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-7262909.249593,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
